Municipios;Sexo;Periodo;Total
36008 Cangas;Hombres;2003;12131
36008 Cangas;Hombres;2002;11997
36008 Cangas;Hombres;2001;11760
36008 Cangas;Hombres;2000;11569
36008 Cangas;Hombres;1999;11549
36008 Cangas;Hombres;1998;11468
36008 Cangas;Hombres;1997;
36008 Cangas;Hombres;1996;11466
36008 Cangas;Mujeres;2020;13387
36008 Cangas;Mujeres;2019;13407
36008 Cangas;Mujeres;2018;13409
36008 Cangas;Mujeres;2017;13410
36008 Cangas;Mujeres;2016;13457
36008 Cangas;Mujeres;2015;13439
36008 Cangas;Mujeres;2014;13468
36008 Cangas;Mujeres;2013;13238
36008 Cangas;Mujeres;2012;13169
36008 Cangas;Mujeres;2011;13167
36008 Cangas;Mujeres;2010;13049
36008 Cangas;Mujeres;2009;12995
36008 Cangas;Mujeres;2008;12856
36008 Cangas;Mujeres;2007;12767
36008 Cangas;Mujeres;2006;12669
36008 Cangas;Mujeres;2005;12519
36008 Cangas;Mujeres;2004;12406
36008 Cangas;Mujeres;2003;12327
36008 Cangas;Mujeres;2002;12150
36008 Cangas;Mujeres;2001;11996
36008 Cangas;Mujeres;2000;11873
36008 Cangas;Mujeres;1999;11864
36008 Cangas;Mujeres;1998;11767
36008 Cangas;Mujeres;1997;
36008 Cangas;Mujeres;1996;11765
36009 Cañiza, A;Total;2020;5122
36009 Cañiza, A;Total;2019;5180
36009 Cañiza, A;Total;2018;5173
36009 Cañiza, A;Total;2017;5233
36009 Cañiza, A;Total;2016;5234
36009 Cañiza, A;Total;2015;5230
36009 Cañiza, A;Total;2014;5342
36009 Cañiza, A;Total;2013;5416
36009 Cañiza, A;Total;2012;5511
36009 Cañiza, A;Total;2011;6461
36009 Cañiza, A;Total;2010;6517
36009 Cañiza, A;Total;2009;6583
36009 Cañiza, A;Total;2008;6651
36009 Cañiza, A;Total;2007;6696
36009 Cañiza, A;Total;2006;6714
36009 Cañiza, A;Total;2005;6747
36009 Cañiza, A;Total;2004;6782
36009 Cañiza, A;Total;2003;6719
36009 Cañiza, A;Total;2002;6919
36009 Cañiza, A;Total;2001;7022
36009 Cañiza, A;Total;2000;6986
36009 Cañiza, A;Total;1999;7176
36009 Cañiza, A;Total;1998;7245
36009 Cañiza, A;Total;1997;
36009 Cañiza, A;Total;1996;7695
36009 Cañiza, A;Hombres;2020;2510
36009 Cañiza, A;Hombres;2019;2535
36009 Cañiza, A;Hombres;2018;2527
36009 Cañiza, A;Hombres;2017;2546
36009 Cañiza, A;Hombres;2016;2561
36009 Cañiza, A;Hombres;2015;2551
36009 Cañiza, A;Hombres;2014;2597
36009 Cañiza, A;Hombres;2013;2647
36009 Cañiza, A;Hombres;2012;2698
36009 Cañiza, A;Hombres;2011;3145
36009 Cañiza, A;Hombres;2010;3171
36009 Cañiza, A;Hombres;2009;3192
36009 Cañiza, A;Hombres;2008;3233
36009 Cañiza, A;Hombres;2007;3222
36009 Cañiza, A;Hombres;2006;3239
36009 Cañiza, A;Hombres;2005;3235
36009 Cañiza, A;Hombres;2004;3252
36009 Cañiza, A;Hombres;2003;3216
36009 Cañiza, A;Hombres;2002;3301
36009 Cañiza, A;Hombres;2001;3342
36009 Cañiza, A;Hombres;2000;3313
36009 Cañiza, A;Hombres;1999;3359
36009 Cañiza, A;Hombres;1998;3401
36009 Cañiza, A;Hombres;1997;
36009 Cañiza, A;Hombres;1996;3664
36009 Cañiza, A;Mujeres;2020;2612
36009 Cañiza, A;Mujeres;2019;2645
36009 Cañiza, A;Mujeres;2018;2646
36009 Cañiza, A;Mujeres;2017;2687
36009 Cañiza, A;Mujeres;2016;2673
36009 Cañiza, A;Mujeres;2015;2679
36009 Cañiza, A;Mujeres;2014;2745
36009 Cañiza, A;Mujeres;2013;2769
36009 Cañiza, A;Mujeres;2012;2813
36009 Cañiza, A;Mujeres;2011;3316
36009 Cañiza, A;Mujeres;2010;3346
36009 Cañiza, A;Mujeres;2009;3391
36009 Cañiza, A;Mujeres;2008;3418
36009 Cañiza, A;Mujeres;2007;3474
36009 Cañiza, A;Mujeres;2006;3475
36009 Cañiza, A;Mujeres;2005;3512
36009 Cañiza, A;Mujeres;2004;3530
36009 Cañiza, A;Mujeres;2003;3503
36009 Cañiza, A;Mujeres;2002;3618
36009 Cañiza, A;Mujeres;2001;3680
36009 Cañiza, A;Mujeres;2000;3673
36009 Cañiza, A;Mujeres;1999;3817
36009 Cañiza, A;Mujeres;1998;3844
36009 Cañiza, A;Mujeres;1997;
36009 Cañiza, A;Mujeres;1996;4031
36010 Catoira;Total;2020;3331
36010 Catoira;Total;2019;3335
36010 Catoira;Total;2018;3349
36010 Catoira;Total;2017;3337
36010 Catoira;Total;2016;3376
36010 Catoira;Total;2015;3368
36010 Catoira;Total;2014;3402
36010 Catoira;Total;2013;3421
36010 Catoira;Total;2012;3484
36010 Catoira;Total;2011;3489
36010 Catoira;Total;2010;3469
36010 Catoira;Total;2009;3473
36010 Catoira;Total;2008;3485
36010 Catoira;Total;2007;3480
36010 Catoira;Total;2006;3482
36010 Catoira;Total;2005;3502
36010 Catoira;Total;2004;3510
36010 Catoira;Total;2003;3501
36010 Catoira;Total;2002;3522
36010 Catoira;Total;2001;3537
36010 Catoira;Total;2000;3507
36010 Catoira;Total;1999;3528
36010 Catoira;Total;1998;3541
36010 Catoira;Total;1997;
36010 Catoira;Total;1996;3612
36010 Catoira;Hombres;2020;1615
36010 Catoira;Hombres;2019;1615
36010 Catoira;Hombres;2018;1623
36010 Catoira;Hombres;2017;1623
36010 Catoira;Hombres;2016;1644
36010 Catoira;Hombres;2015;1651
36010 Catoira;Hombres;2014;1675
36010 Catoira;Hombres;2013;1683
36010 Catoira;Hombres;2012;1696
36010 Catoira;Hombres;2011;1711
36010 Catoira;Hombres;2010;1697
36010 Catoira;Hombres;2009;1690
36010 Catoira;Hombres;2008;1689
36010 Catoira;Hombres;2007;1692
36010 Catoira;Hombres;2006;1696
36010 Catoira;Hombres;2005;1715
36010 Catoira;Hombres;2004;1716
36010 Catoira;Hombres;2003;1713
36010 Catoira;Hombres;2002;1720
36010 Catoira;Hombres;2001;1733
36010 Catoira;Hombres;2000;1720
36010 Catoira;Hombres;1999;1714
36010 Catoira;Hombres;1998;1723
36010 Catoira;Hombres;1997;
36010 Catoira;Hombres;1996;1771
36010 Catoira;Mujeres;2020;1716
36010 Catoira;Mujeres;2019;1720
36010 Catoira;Mujeres;2018;1726
36010 Catoira;Mujeres;2017;1714
36010 Catoira;Mujeres;2016;1732
36010 Catoira;Mujeres;2015;1717
36010 Catoira;Mujeres;2014;1727
36010 Catoira;Mujeres;2013;1738
36010 Catoira;Mujeres;2012;1788
36010 Catoira;Mujeres;2011;1778
36010 Catoira;Mujeres;2010;1772
36010 Catoira;Mujeres;2009;1783
36010 Catoira;Mujeres;2008;1796
36010 Catoira;Mujeres;2007;1788
36010 Catoira;Mujeres;2006;1786
36010 Catoira;Mujeres;2005;1787
36010 Catoira;Mujeres;2004;1794
36010 Catoira;Mujeres;2003;1788
36010 Catoira;Mujeres;2002;1802
36010 Catoira;Mujeres;2001;1804
36010 Catoira;Mujeres;2000;1787
36010 Catoira;Mujeres;1999;1814
36010 Catoira;Mujeres;1998;1818
36010 Catoira;Mujeres;1997;
36010 Catoira;Mujeres;1996;1841
36011 Cerdedo;Total;2020;
36011 Cerdedo;Total;2019;
36011 Cerdedo;Total;2018;
36011 Cerdedo;Total;2017;
36011 Cerdedo;Total;2016;1781
36011 Cerdedo;Total;2015;1828
36011 Cerdedo;Total;2014;1860
36011 Cerdedo;Total;2013;1865
36011 Cerdedo;Total;2012;1916
36011 Cerdedo;Total;2011;2297
36011 Cerdedo;Total;2010;2299
36011 Cerdedo;Total;2009;2290
36011 Cerdedo;Total;2008;2350
36011 Cerdedo;Total;2007;2402
36011 Cerdedo;Total;2006;2330
36011 Cerdedo;Total;2005;2333
36011 Cerdedo;Total;2004;2308
36011 Cerdedo;Total;2003;2313
36011 Cerdedo;Total;2002;2434
36011 Cerdedo;Total;2001;2523
36011 Cerdedo;Total;2000;2566
36011 Cerdedo;Total;1999;2592
36011 Cerdedo;Total;1998;2684
36011 Cerdedo;Total;1997;
36011 Cerdedo;Total;1996;2771
36011 Cerdedo;Hombres;2020;
36011 Cerdedo;Hombres;2019;
36011 Cerdedo;Hombres;2018;
36011 Cerdedo;Hombres;2017;
36011 Cerdedo;Hombres;2016;834
36011 Cerdedo;Hombres;2015;854
36011 Cerdedo;Hombres;2014;856
36011 Cerdedo;Hombres;2013;870
36011 Cerdedo;Hombres;2012;901
36011 Cerdedo;Hombres;2011;1063
36011 Cerdedo;Hombres;2010;1050
36011 Cerdedo;Hombres;2009;1047
36011 Cerdedo;Hombres;2008;1092
36011 Cerdedo;Hombres;2007;1098
36011 Cerdedo;Hombres;2006;1047
36011 Cerdedo;Hombres;2005;1053
36011 Cerdedo;Hombres;2004;1041
36011 Cerdedo;Hombres;2003;1040
36011 Cerdedo;Hombres;2002;1086
36011 Cerdedo;Hombres;2001;1110
36011 Cerdedo;Hombres;2000;1122
36011 Cerdedo;Hombres;1999;1128
36011 Cerdedo;Hombres;1998;1162
36011 Cerdedo;Hombres;1997;
36011 Cerdedo;Hombres;1996;1204
36011 Cerdedo;Mujeres;2020;
36011 Cerdedo;Mujeres;2019;
36011 Cerdedo;Mujeres;2018;
36011 Cerdedo;Mujeres;2017;
36011 Cerdedo;Mujeres;2016;947
36011 Cerdedo;Mujeres;2015;974
36011 Cerdedo;Mujeres;2014;1004
36011 Cerdedo;Mujeres;2013;995
36011 Cerdedo;Mujeres;2012;1015
36011 Cerdedo;Mujeres;2011;1234
36011 Cerdedo;Mujeres;2010;1249
36011 Cerdedo;Mujeres;2009;1243
36011 Cerdedo;Mujeres;2008;1258
36011 Cerdedo;Mujeres;2007;1304
36011 Cerdedo;Mujeres;2006;1283
36011 Cerdedo;Mujeres;2005;1280
36011 Cerdedo;Mujeres;2004;1267
36011 Cerdedo;Mujeres;2003;1273
36011 Cerdedo;Mujeres;2002;1348
36011 Cerdedo;Mujeres;2001;1413
36011 Cerdedo;Mujeres;2000;1444
36011 Cerdedo;Mujeres;1999;1464
36011 Cerdedo;Mujeres;1998;1522
36011 Cerdedo;Mujeres;1997;
36011 Cerdedo;Mujeres;1996;1567
36902 Cerdedo-Cotobade;Total;2020;5697
36902 Cerdedo-Cotobade;Total;2019;5699
36902 Cerdedo-Cotobade;Total;2018;5815
36902 Cerdedo-Cotobade;Total;2017;6107
36902 Cerdedo-Cotobade;Total;2016;
36902 Cerdedo-Cotobade;Total;2015;
36902 Cerdedo-Cotobade;Total;2014;
36902 Cerdedo-Cotobade;Total;2013;
36902 Cerdedo-Cotobade;Total;2012;
36902 Cerdedo-Cotobade;Total;2011;
36902 Cerdedo-Cotobade;Total;2010;
36902 Cerdedo-Cotobade;Total;2009;
36902 Cerdedo-Cotobade;Total;2008;
36902 Cerdedo-Cotobade;Total;2007;
36902 Cerdedo-Cotobade;Total;2006;
36902 Cerdedo-Cotobade;Total;2005;
36902 Cerdedo-Cotobade;Total;2004;
36902 Cerdedo-Cotobade;Total;2003;
36902 Cerdedo-Cotobade;Total;2002;
36902 Cerdedo-Cotobade;Total;2001;
36902 Cerdedo-Cotobade;Total;2000;
36902 Cerdedo-Cotobade;Total;1999;
36902 Cerdedo-Cotobade;Total;1998;
36902 Cerdedo-Cotobade;Total;1997;
36902 Cerdedo-Cotobade;Total;1996;
36902 Cerdedo-Cotobade;Hombres;2020;2771
36902 Cerdedo-Cotobade;Hombres;2019;2759
36902 Cerdedo-Cotobade;Hombres;2018;2795
36902 Cerdedo-Cotobade;Hombres;2017;2913
36902 Cerdedo-Cotobade;Hombres;2016;
36902 Cerdedo-Cotobade;Hombres;2015;
36902 Cerdedo-Cotobade;Hombres;2014;
36902 Cerdedo-Cotobade;Hombres;2013;
36902 Cerdedo-Cotobade;Hombres;2012;
36902 Cerdedo-Cotobade;Hombres;2011;
36902 Cerdedo-Cotobade;Hombres;2010;
36902 Cerdedo-Cotobade;Hombres;2009;
36902 Cerdedo-Cotobade;Hombres;2008;
36902 Cerdedo-Cotobade;Hombres;2007;
36902 Cerdedo-Cotobade;Hombres;2006;
36902 Cerdedo-Cotobade;Hombres;2005;
36902 Cerdedo-Cotobade;Hombres;2004;
36902 Cerdedo-Cotobade;Hombres;2003;
36902 Cerdedo-Cotobade;Hombres;2002;
36902 Cerdedo-Cotobade;Hombres;2001;
36902 Cerdedo-Cotobade;Hombres;2000;
36902 Cerdedo-Cotobade;Hombres;1999;
36902 Cerdedo-Cotobade;Hombres;1998;
36902 Cerdedo-Cotobade;Hombres;1997;
36902 Cerdedo-Cotobade;Hombres;1996;
36902 Cerdedo-Cotobade;Mujeres;2020;2926
36902 Cerdedo-Cotobade;Mujeres;2019;2940
36902 Cerdedo-Cotobade;Mujeres;2018;3020
36902 Cerdedo-Cotobade;Mujeres;2017;3194
36902 Cerdedo-Cotobade;Mujeres;2016;
36902 Cerdedo-Cotobade;Mujeres;2015;
36902 Cerdedo-Cotobade;Mujeres;2014;
36902 Cerdedo-Cotobade;Mujeres;2013;
36902 Cerdedo-Cotobade;Mujeres;2012;
36902 Cerdedo-Cotobade;Mujeres;2011;
36902 Cerdedo-Cotobade;Mujeres;2010;
36902 Cerdedo-Cotobade;Mujeres;2009;
36902 Cerdedo-Cotobade;Mujeres;2008;
36902 Cerdedo-Cotobade;Mujeres;2007;
36902 Cerdedo-Cotobade;Mujeres;2006;
36902 Cerdedo-Cotobade;Mujeres;2005;
36902 Cerdedo-Cotobade;Mujeres;2004;
36902 Cerdedo-Cotobade;Mujeres;2003;
36902 Cerdedo-Cotobade;Mujeres;2002;
36902 Cerdedo-Cotobade;Mujeres;2001;
36902 Cerdedo-Cotobade;Mujeres;2000;
36902 Cerdedo-Cotobade;Mujeres;1999;
36902 Cerdedo-Cotobade;Mujeres;1998;
36902 Cerdedo-Cotobade;Mujeres;1997;
36902 Cerdedo-Cotobade;Mujeres;1996;
36012 Cotobade;Total;2020;
36012 Cotobade;Total;2019;
36012 Cotobade;Total;2018;
36012 Cotobade;Total;2017;
36012 Cotobade;Total;2016;4290
36012 Cotobade;Total;2015;4332
36012 Cotobade;Total;2014;4327
36012 Cotobade;Total;2013;4359
36012 Cotobade;Total;2012;4394
36012 Cotobade;Total;2011;4432
36012 Cotobade;Total;2010;4427
36012 Cotobade;Total;2009;4448
36012 Cotobade;Total;2008;4517
36012 Cotobade;Total;2007;4575
36012 Cotobade;Total;2006;4608
36012 Cotobade;Total;2005;4658
36012 Cotobade;Total;2004;4644
36012 Cotobade;Total;2003;4610
36012 Cotobade;Total;2002;4629
36012 Cotobade;Total;2001;4680
36012 Cotobade;Total;2000;4786
36012 Cotobade;Total;1999;4963
36012 Cotobade;Total;1998;5012
36012 Cotobade;Total;1997;
36012 Cotobade;Total;1996;5123
36012 Cotobade;Hombres;2020;
36012 Cotobade;Hombres;2019;
36012 Cotobade;Hombres;2018;
36012 Cotobade;Hombres;2017;
36012 Cotobade;Hombres;2016;2072
36012 Cotobade;Hombres;2015;2099
36012 Cotobade;Hombres;2014;2079
36012 Cotobade;Hombres;2013;2093
36012 Cotobade;Hombres;2012;2095
36012 Cotobade;Hombres;2011;2101
36012 Cotobade;Hombres;2010;2096
36012 Cotobade;Hombres;2009;2098
36012 Cotobade;Hombres;2008;2118
36012 Cotobade;Hombres;2007;2131
36012 Cotobade;Hombres;2006;2131
36012 Cotobade;Hombres;2005;2148
36012 Cotobade;Hombres;2004;2140
36012 Cotobade;Hombres;2003;2116
36012 Cotobade;Hombres;2002;2132
36012 Cotobade;Hombres;2001;2140
36012 Cotobade;Hombres;2000;2187
36012 Cotobade;Hombres;1999;2271
36012 Cotobade;Hombres;1998;2293
36012 Cotobade;Hombres;1997;
36012 Cotobade;Hombres;1996;2337
36012 Cotobade;Mujeres;2020;
36012 Cotobade;Mujeres;2019;
36012 Cotobade;Mujeres;2018;
36012 Cotobade;Mujeres;2017;
36012 Cotobade;Mujeres;2016;2218
36012 Cotobade;Mujeres;2015;2233
36012 Cotobade;Mujeres;2014;2248
36012 Cotobade;Mujeres;2013;2266
36012 Cotobade;Mujeres;2012;2299
36012 Cotobade;Mujeres;2011;2331
36012 Cotobade;Mujeres;2010;2331
36012 Cotobade;Mujeres;2009;2350
36012 Cotobade;Mujeres;2008;2399
36012 Cotobade;Mujeres;2007;2444
36012 Cotobade;Mujeres;2006;2477
36012 Cotobade;Mujeres;2005;2510
36012 Cotobade;Mujeres;2004;2504
36012 Cotobade;Mujeres;2003;2494
36012 Cotobade;Mujeres;2002;2497
36012 Cotobade;Mujeres;2001;2540
36012 Cotobade;Mujeres;2000;2599
36012 Cotobade;Mujeres;1999;2692
36012 Cotobade;Mujeres;1998;2719
36012 Cotobade;Mujeres;1997;
36012 Cotobade;Mujeres;1996;2786
36013 Covelo;Total;2020;2368
36013 Covelo;Total;2019;2396
36013 Covelo;Total;2018;2417
36013 Covelo;Total;2017;2505
36013 Covelo;Total;2016;2528
36013 Covelo;Total;2015;2617
36013 Covelo;Total;2014;2719
36013 Covelo;Total;2013;2800
36013 Covelo;Total;2012;2931
36013 Covelo;Total;2011;3235
36013 Covelo;Total;2010;3341
36013 Covelo;Total;2009;3399
36013 Covelo;Total;2008;3457
36013 Covelo;Total;2007;3515
36013 Covelo;Total;2006;3602
36013 Covelo;Total;2005;3652
36013 Covelo;Total;2004;3730
36013 Covelo;Total;2003;3751
36013 Covelo;Total;2002;3951
36013 Covelo;Total;2001;3968
36013 Covelo;Total;2000;4046
36013 Covelo;Total;1999;4112
36013 Covelo;Total;1998;4224
36013 Covelo;Total;1997;
36013 Covelo;Total;1996;4501
36013 Covelo;Hombres;2020;1198
36013 Covelo;Hombres;2019;1214
36013 Covelo;Hombres;2018;1224
36013 Covelo;Hombres;2017;1245
36013 Covelo;Hombres;2016;1257
36013 Covelo;Hombres;2015;1293
36013 Covelo;Hombres;2014;1347
36013 Covelo;Hombres;2013;1381
36013 Covelo;Hombres;2012;1454
36013 Covelo;Hombres;2011;1588
36013 Covelo;Hombres;2010;1628
36013 Covelo;Hombres;2009;1636
36013 Covelo;Hombres;2008;1672
36013 Covelo;Hombres;2007;1681
36013 Covelo;Hombres;2006;1711
36013 Covelo;Hombres;2005;1740
36013 Covelo;Hombres;2004;1760
36013 Covelo;Hombres;2003;1759
36013 Covelo;Hombres;2002;1831
36013 Covelo;Hombres;2001;1839
36013 Covelo;Hombres;2000;1884
36013 Covelo;Hombres;1999;1908
36013 Covelo;Hombres;1998;1956
36013 Covelo;Hombres;1997;
36013 Covelo;Hombres;1996;2076
36013 Covelo;Mujeres;2020;1170
36013 Covelo;Mujeres;2019;1182
36013 Covelo;Mujeres;2018;1193
36013 Covelo;Mujeres;2017;1260
36013 Covelo;Mujeres;2016;1271
36013 Covelo;Mujeres;2015;1324
36013 Covelo;Mujeres;2014;1372
36013 Covelo;Mujeres;2013;1419
36013 Covelo;Mujeres;2012;1477
36013 Covelo;Mujeres;2011;1647
36013 Covelo;Mujeres;2010;1713
36013 Covelo;Mujeres;2009;1763
36013 Covelo;Mujeres;2008;1785
36013 Covelo;Mujeres;2007;1834
36013 Covelo;Mujeres;2006;1891
36013 Covelo;Mujeres;2005;1912
36013 Covelo;Mujeres;2004;1970
36013 Covelo;Mujeres;2003;1992
36013 Covelo;Mujeres;2002;2120
36013 Covelo;Mujeres;2001;2129
36013 Covelo;Mujeres;2000;2162
36013 Covelo;Mujeres;1999;2204
36013 Covelo;Mujeres;1998;2268
36013 Covelo;Mujeres;1997;
36013 Covelo;Mujeres;1996;2425
36014 Crecente;Total;2020;1994
36014 Crecente;Total;2019;2012
36014 Crecente;Total;2018;2032
36014 Crecente;Total;2017;2082
36014 Crecente;Total;2016;2131
36014 Crecente;Total;2015;2252
36014 Crecente;Total;2014;2261
36014 Crecente;Total;2013;2314
36014 Crecente;Total;2012;2367
36014 Crecente;Total;2011;2533
36014 Crecente;Total;2010;2540
36014 Crecente;Total;2009;2596
36014 Crecente;Total;2008;2652
36014 Crecente;Total;2007;2698
36014 Crecente;Total;2006;2677
36014 Crecente;Total;2005;2748
36014 Crecente;Total;2004;2756
36014 Crecente;Total;2003;2779
36014 Crecente;Total;2002;2818
36014 Crecente;Total;2001;2873
36014 Crecente;Total;2000;2984
36014 Crecente;Total;1999;3062
36014 Crecente;Total;1998;2979
36014 Crecente;Total;1997;
36014 Crecente;Total;1996;3060
36014 Crecente;Hombres;2020;973
36014 Crecente;Hombres;2019;974
36014 Crecente;Hombres;2018;981
36014 Crecente;Hombres;2017;997
36014 Crecente;Hombres;2016;1012
36014 Crecente;Hombres;2015;1077
36014 Crecente;Hombres;2014;1088
36014 Crecente;Hombres;2013;1113
36014 Crecente;Hombres;2012;1138
36014 Crecente;Hombres;2011;1219
36014 Crecente;Hombres;2010;1220
36014 Crecente;Hombres;2009;1242
36014 Crecente;Hombres;2008;1254
36014 Crecente;Hombres;2007;1267
36014 Crecente;Hombres;2006;1239
36014 Crecente;Hombres;2005;1267
36014 Crecente;Hombres;2004;1268
36014 Crecente;Hombres;2003;1288
36014 Crecente;Hombres;2002;1303
36014 Crecente;Hombres;2001;1318
36014 Crecente;Hombres;2000;1370
36014 Crecente;Hombres;1999;1393
36014 Crecente;Hombres;1998;1352
36014 Crecente;Hombres;1997;
36014 Crecente;Hombres;1996;1392
36014 Crecente;Mujeres;2020;1021
36014 Crecente;Mujeres;2019;1038
36014 Crecente;Mujeres;2018;1051
36014 Crecente;Mujeres;2017;1085
36014 Crecente;Mujeres;2016;1119
36014 Crecente;Mujeres;2015;1175
36014 Crecente;Mujeres;2014;1173
36014 Crecente;Mujeres;2013;1201
36014 Crecente;Mujeres;2012;1229
36014 Crecente;Mujeres;2011;1314
36014 Crecente;Mujeres;2010;1320
36014 Crecente;Mujeres;2009;1354
36014 Crecente;Mujeres;2008;1398
36014 Crecente;Mujeres;2007;1431
36014 Crecente;Mujeres;2006;1438
36014 Crecente;Mujeres;2005;1481
36014 Crecente;Mujeres;2004;1488
36014 Crecente;Mujeres;2003;1491
36014 Crecente;Mujeres;2002;1515
36014 Crecente;Mujeres;2001;1555
36014 Crecente;Mujeres;2000;1614
36014 Crecente;Mujeres;1999;1669
36014 Crecente;Mujeres;1998;1627
36014 Crecente;Mujeres;1997;
36014 Crecente;Mujeres;1996;1668
36015 Cuntis;Total;2020;4665
36015 Cuntis;Total;2019;4677
36015 Cuntis;Total;2018;4710
36015 Cuntis;Total;2017;4750
36015 Cuntis;Total;2016;4794
36015 Cuntis;Total;2015;4878
36015 Cuntis;Total;2014;4931
36015 Cuntis;Total;2013;4913
36015 Cuntis;Total;2012;4992
36015 Cuntis;Total;2011;5066
36015 Cuntis;Total;2010;5115
36015 Cuntis;Total;2009;5133
36015 Cuntis;Total;2008;5172
36015 Cuntis;Total;2007;5184
36015 Cuntis;Total;2006;5267
36015 Cuntis;Total;2005;5340
36015 Cuntis;Total;2004;5443
36015 Cuntis;Total;2003;5491
36015 Cuntis;Total;2002;5573
36015 Cuntis;Total;2001;5611
36015 Cuntis;Total;2000;5660
36015 Cuntis;Total;1999;5637
36015 Cuntis;Total;1998;5733
36015 Cuntis;Total;1997;
36015 Cuntis;Total;1996;5834
36015 Cuntis;Hombres;2020;2215
36015 Cuntis;Hombres;2019;2218
36015 Cuntis;Hombres;2018;2243
36015 Cuntis;Hombres;2017;2255
36015 Cuntis;Hombres;2016;2262
36015 Cuntis;Hombres;2015;2311
36015 Cuntis;Hombres;2014;2335
36015 Cuntis;Hombres;2013;2311
36015 Cuntis;Hombres;2012;2357
36015 Cuntis;Hombres;2011;2383
36015 Cuntis;Hombres;2010;2416
36015 Cuntis;Hombres;2009;2421
36015 Cuntis;Hombres;2008;2420
36015 Cuntis;Hombres;2007;2411
36015 Cuntis;Hombres;2006;2464
36015 Cuntis;Hombres;2005;2500
36015 Cuntis;Hombres;2004;2545
36015 Cuntis;Hombres;2003;2556
36015 Cuntis;Hombres;2002;2585
36015 Cuntis;Hombres;2001;2590
36015 Cuntis;Hombres;2000;2610
36015 Cuntis;Hombres;1999;2596
36015 Cuntis;Hombres;1998;2642
36015 Cuntis;Hombres;1997;
36015 Cuntis;Hombres;1996;2682
36015 Cuntis;Mujeres;2020;2450
36015 Cuntis;Mujeres;2019;2459
36015 Cuntis;Mujeres;2018;2467
36015 Cuntis;Mujeres;2017;2495
36015 Cuntis;Mujeres;2016;2532
36015 Cuntis;Mujeres;2015;2567
36015 Cuntis;Mujeres;2014;2596
36015 Cuntis;Mujeres;2013;2602
36015 Cuntis;Mujeres;2012;2635
36015 Cuntis;Mujeres;2011;2683
36015 Cuntis;Mujeres;2010;2699
36015 Cuntis;Mujeres;2009;2712
36015 Cuntis;Mujeres;2008;2752
36015 Cuntis;Mujeres;2007;2773
36015 Cuntis;Mujeres;2006;2803
36015 Cuntis;Mujeres;2005;2840
36015 Cuntis;Mujeres;2004;2898
36015 Cuntis;Mujeres;2003;2935
36015 Cuntis;Mujeres;2002;2988
36015 Cuntis;Mujeres;2001;3021
36015 Cuntis;Mujeres;2000;3050
36015 Cuntis;Mujeres;1999;3041
36015 Cuntis;Mujeres;1998;3091
36015 Cuntis;Mujeres;1997;
36015 Cuntis;Mujeres;1996;3152
36016 Dozón;Total;2020;1073
36016 Dozón;Total;2019;1082
36016 Dozón;Total;2018;1110
36016 Dozón;Total;2017;1179
36016 Dozón;Total;2016;1107
36016 Dozón;Total;2015;1174
36016 Dozón;Total;2014;1209
36016 Dozón;Total;2013;1241
36016 Dozón;Total;2012;1328
36016 Dozón;Total;2011;1744
36016 Dozón;Total;2010;1781
36016 Dozón;Total;2009;1827
36016 Dozón;Total;2008;1864
36016 Dozón;Total;2007;1923
36016 Dozón;Total;2006;1947
36016 Dozón;Total;2005;1980
36016 Dozón;Total;2004;2030
36016 Dozón;Total;2003;2059
36016 Dozón;Total;2002;2095
36016 Dozón;Total;2001;2164
36016 Dozón;Total;2000;2174
36016 Dozón;Total;1999;2230
36016 Dozón;Total;1998;2279
36016 Dozón;Total;1997;
36016 Dozón;Total;1996;2538
36016 Dozón;Hombres;2020;560
36016 Dozón;Hombres;2019;566
36016 Dozón;Hombres;2018;579
36016 Dozón;Hombres;2017;611
36016 Dozón;Hombres;2016;576
36016 Dozón;Hombres;2015;610
36016 Dozón;Hombres;2014;621
36016 Dozón;Hombres;2013;633
36016 Dozón;Hombres;2012;671
36016 Dozón;Hombres;2011;857
36016 Dozón;Hombres;2010;878
36016 Dozón;Hombres;2009;899
36016 Dozón;Hombres;2008;916
36016 Dozón;Hombres;2007;937
36016 Dozón;Hombres;2006;948
36016 Dozón;Hombres;2005;962
36016 Dozón;Hombres;2004;987
36016 Dozón;Hombres;2003;995
36016 Dozón;Hombres;2002;1004
36016 Dozón;Hombres;2001;1029
36016 Dozón;Hombres;2000;1037
36016 Dozón;Hombres;1999;1069
36016 Dozón;Hombres;1998;1104
36016 Dozón;Hombres;1997;
36016 Dozón;Hombres;1996;1260
36016 Dozón;Mujeres;2020;513
36016 Dozón;Mujeres;2019;516
36016 Dozón;Mujeres;2018;531
36016 Dozón;Mujeres;2017;568
36016 Dozón;Mujeres;2016;531
36016 Dozón;Mujeres;2015;564
36016 Dozón;Mujeres;2014;588
36016 Dozón;Mujeres;2013;608
36016 Dozón;Mujeres;2012;657
36016 Dozón;Mujeres;2011;887
36016 Dozón;Mujeres;2010;903
36016 Dozón;Mujeres;2009;928
36016 Dozón;Mujeres;2008;948
36016 Dozón;Mujeres;2007;986
36016 Dozón;Mujeres;2006;999
36016 Dozón;Mujeres;2005;1018
36016 Dozón;Mujeres;2004;1043
36016 Dozón;Mujeres;2003;1064
