Municipios;Sexo;Periodo;Total
36020 Agolada;Mujeres;2000;2233
36020 Agolada;Mujeres;1999;2281
36020 Agolada;Mujeres;1998;2281
36020 Agolada;Mujeres;1997;
36020 Agolada;Mujeres;1996;2523
36001 Arbo;Total;2020;2576
36001 Arbo;Total;2019;2580
36001 Arbo;Total;2018;2637
36001 Arbo;Total;2017;2711
36001 Arbo;Total;2016;2770
36001 Arbo;Total;2015;2846
36001 Arbo;Total;2014;2904
36001 Arbo;Total;2013;2967
36001 Arbo;Total;2012;3191
36001 Arbo;Total;2011;3741
36001 Arbo;Total;2010;3801
36001 Arbo;Total;2009;3833
36001 Arbo;Total;2008;3877
36001 Arbo;Total;2007;3887
36001 Arbo;Total;2006;3955
36001 Arbo;Total;2005;3973
36001 Arbo;Total;2004;4018
36001 Arbo;Total;2003;4121
36001 Arbo;Total;2002;4173
36001 Arbo;Total;2001;4255
36001 Arbo;Total;2000;4318
36001 Arbo;Total;1999;4459
36001 Arbo;Total;1998;4459
36001 Arbo;Total;1997;
36001 Arbo;Total;1996;5019
36001 Arbo;Hombres;2020;1335
36001 Arbo;Hombres;2019;1328
36001 Arbo;Hombres;2018;1348
36001 Arbo;Hombres;2017;1384
36001 Arbo;Hombres;2016;1412
36001 Arbo;Hombres;2015;1440
36001 Arbo;Hombres;2014;1471
36001 Arbo;Hombres;2013;1488
36001 Arbo;Hombres;2012;1585
36001 Arbo;Hombres;2011;1863
36001 Arbo;Hombres;2010;1903
36001 Arbo;Hombres;2009;1894
36001 Arbo;Hombres;2008;1915
36001 Arbo;Hombres;2007;1933
36001 Arbo;Hombres;2006;1979
36001 Arbo;Hombres;2005;1974
36001 Arbo;Hombres;2004;1996
36001 Arbo;Hombres;2003;2023
36001 Arbo;Hombres;2002;2052
36001 Arbo;Hombres;2001;2082
36001 Arbo;Hombres;2000;2105
36001 Arbo;Hombres;1999;2178
36001 Arbo;Hombres;1998;2178
36001 Arbo;Hombres;1997;
36001 Arbo;Hombres;1996;2474
36001 Arbo;Mujeres;2020;1241
36001 Arbo;Mujeres;2019;1252
36001 Arbo;Mujeres;2018;1289
36001 Arbo;Mujeres;2017;1327
36001 Arbo;Mujeres;2016;1358
36001 Arbo;Mujeres;2015;1406
36001 Arbo;Mujeres;2014;1433
36001 Arbo;Mujeres;2013;1479
36001 Arbo;Mujeres;2012;1606
36001 Arbo;Mujeres;2011;1878
36001 Arbo;Mujeres;2010;1898
36001 Arbo;Mujeres;2009;1939
36001 Arbo;Mujeres;2008;1962
36001 Arbo;Mujeres;2007;1954
36001 Arbo;Mujeres;2006;1976
36001 Arbo;Mujeres;2005;1999
36001 Arbo;Mujeres;2004;2022
36001 Arbo;Mujeres;2003;2098
36001 Arbo;Mujeres;2002;2121
36001 Arbo;Mujeres;2001;2173
36001 Arbo;Mujeres;2000;2213
36001 Arbo;Mujeres;1999;2281
36001 Arbo;Mujeres;1998;2281
36001 Arbo;Mujeres;1997;
36001 Arbo;Mujeres;1996;2545
36003 Baiona;Total;2020;12129
36003 Baiona;Total;2019;12122
36003 Baiona;Total;2018;12134
36003 Baiona;Total;2017;12169
36003 Baiona;Total;2016;12119
36003 Baiona;Total;2015;12072
36003 Baiona;Total;2014;12233
36003 Baiona;Total;2013;12035
36003 Baiona;Total;2012;12063
36003 Baiona;Total;2011;12258
36003 Baiona;Total;2010;12154
36003 Baiona;Total;2009;12091
36003 Baiona;Total;2008;11976
36003 Baiona;Total;2007;11839
36003 Baiona;Total;2006;11653
36003 Baiona;Total;2005;11521
36003 Baiona;Total;2004;11337
36003 Baiona;Total;2003;11153
36003 Baiona;Total;2002;11014
36003 Baiona;Total;2001;10873
36003 Baiona;Total;2000;10741
36003 Baiona;Total;1999;10659
36003 Baiona;Total;1998;10443
36003 Baiona;Total;1997;
36003 Baiona;Total;1996;10499
36003 Baiona;Hombres;2020;5977
36003 Baiona;Hombres;2019;5974
36003 Baiona;Hombres;2018;5984
36003 Baiona;Hombres;2017;6018
36003 Baiona;Hombres;2016;6003
36003 Baiona;Hombres;2015;5982
36003 Baiona;Hombres;2014;6076
36003 Baiona;Hombres;2013;5964
36003 Baiona;Hombres;2012;6010
36003 Baiona;Hombres;2011;6102
36003 Baiona;Hombres;2010;6037
36003 Baiona;Hombres;2009;6000
